id,price,room_type,property_type,neighbourhood_cleansed,neighbourhood_norm,accommodates,bedrooms,beds,bathrooms,minimum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,host_is_superhost,is_commercial_host,calculated_host_listings_count,host_tenure_years,instant_bookable,latitude,longitude,dist_city_center_km,amenities_count,has_wifi,has_kitchen,has_washer,has_pool,has_pets_allowed,has_free_parking,has_workspace,has_aircon
1105131394378489111,182.0,Entire home/apt,Entire rental unit,Dublin City,Unknown,2,1.0,1.0,1.0,2,103,26,1.46,4.92,False,0,1,11.540041067761807,False,53.33107,-6.31432,4.158359458959468,22,1,1,0,0,0,1,1,0
1105234094080390986,233.0,Entire home/apt,Entire rental unit,Dublin City,Unknown,4,2.0,2.0,1.0,3,75,69,3.78,4.74,False,0,1,1.5359342915811087,True,53.3412641,-6.2642397,0.9855530503961127,24,1,1,1,0,0,0,0,0
1105634399339304520,96.0,Entire home/apt,Entire condo,Dn Laoghaire-Rathdown,Dublin,2,1.0,1.0,1.0,3,193,4,0.32,4.75,False,0,1,9.678302532511978,False,53.28442580834445,-6.240340617965762,7.396235972973741,39,1,1,1,0,1,1,1,0
1105648119688608719,229.0,Entire home/apt,Entire rental unit,Dublin City,Unknown,6,2.0,3.0,1.0,4,209,50,2.74,4.5,,1,234,7.51813826146475,False,53.34739574558099,-6.266112290024887,0.47055376914746266,26,1,1,1,0,0,0,1,0
1106321979343477192,2370.0,Entire home/apt,Entire rental unit,Dublin City,D1,4,1.0,2.0,1.0,1,83,2,0.13,3.0,False,1,21,3.6030116358658453,False,53.35443009221349,-6.259908773216814,0.5159544582813855,38,1,1,0,0,1,0,1,0
1106328196944561230,129.0,Private room,Private room in guesthouse,Dublin City,Unknown,7,1.0,6.0,5.0,1,318,3,0.22,5.0,False,1,14,3.241615331964408,True,53.3485,-6.25516,0.3716159389072035,8,1,1,0,0,0,0,0,0
1106412410964766393,120.0,Private room,Private room in condo,Dublin City,Unknown,2,1.0,0.0,1.0,30,269,5,0.3,4.6,False,0,1,3.4414784394250515,False,53.34568921975851,-6.23663417994976,1.6411211061541933,33,1,1,1,0,0,0,0,0
1106528827583070996,208.0,Entire home/apt,Entire rental unit,Dn Laoghaire-Rathdown,Unknown,4,2.0,2.0,2.0,2,3,65,4.4,4.89,True,1,22,10.343600273785079,False,53.27586377044858,-6.2127597357962765,8.817517564821738,22,1,1,1,0,0,1,0,0
1106622374804934513,150.0,Entire home/apt,Entire home,South Dublin,Unknown,6,3.0,5.0,2.5,1,5,0,0.0,,True,0,1,9.483915126625599,False,53.3512752,-6.4237075,10.882902115438386,8,1,1,1,0,0,1,0,0
1106658526106609260,82.0,Private room,Private room in rental unit,Dublin City,D8,2,1.0,2.0,1.0,1,56,55,3.35,4.56,False,0,3,11.748117727583846,False,53.34498533421857,-6.268700723278817,0.7746752823179124,74,1,1,1,0,1,0,1,0
